,Date,Artist,BB Pos,Peak BB Pos,Last BB Pos,New
0,2015-01-01,Taylor Swift,1,1,1,False
1,2015-01-01,Nicki Minaj,2,2,12,False
2,2015-01-01,Ed Sheeran,3,3,4,False
3,2015-01-01,Pentatonix,4,2,3,False
4,2015-01-01,Sam Smith,5,1,5,False
5,2015-01-01,Meghan Trainor,6,1,6,False
6,2015-01-01,Hozier,7,7,7,False
7,2015-01-01,Ariana Grande,8,1,10,False
8,2015-01-01,J. Cole,9,2,2,False
9,2015-01-01,Matt McAndrew,10,10,44,False
10,2015-01-01,Maroon 5,11,1,8,False
11,2015-01-01,One Direction,12,2,11,False
12,2015-01-01,Beyonce,13,6,13,False
13,2015-01-01,Mark Ronson,14,14,19,False
14,2015-01-01,Bruno Mars,15,15,25,False
15,2015-01-01,Iggy Azalea,16,2,14,False
16,2015-01-01,Selena Gomez,17,10,15,False
17,2015-01-01,Michael Buble,18,17,18,False
18,2015-01-01,Nick Jonas,19,11,17,False
19,2015-01-01,Carrie Underwood,20,9,9,False
20,2015-01-01,Fall Out Boy,21,17,29,False
21,2015-01-01,Florida Georgia Line,22,1,23,False
22,2015-01-01,D'Angelo,23,23,0,True
23,2015-01-01,5 Seconds Of Summer,24,1,73,False
24,2015-01-01,Blake Shelton,25,1,24,False
25,2015-01-01,Jason Aldean,26,1,30,False
26,2015-01-01,Luke Bryan,27,4,27,False
27,2015-01-01,Chris Jamison,28,28,64,False
28,2015-01-01,Imagine Dragons,29,14,31,False
29,2015-01-01,Craig Wayne Boyd,30,30,54,False
30,2015-01-01,Drake,31,13,21,False
31,2015-01-01,Tove Lo,32,10,22,False
32,2015-01-01,Idina Menzel,33,15,20,False
33,2015-01-01,AC/DC,34,6,16,False
34,2015-01-01,Garth Brooks,35,7,36,False
35,2015-01-01,Charli XCX,36,12,46,False
36,2015-01-01,Rae Sremmurd,37,30,34,False
37,2015-01-01,Mr. Probz,38,23,32,False
38,2015-01-01,Calvin Harris,39,9,33,False
39,2015-01-01,The Weeknd,40,37,37,False
40,2015-01-01,Barbra Streisand,41,2,47,False
41,2015-01-01,Trans-Siberian Orchestra,42,35,35,False
42,2015-01-01,Chris Brown,43,1,28,False
43,2015-01-01,Eminem,44,11,40,False
44,2015-01-01,Jessie J,45,17,75,False
45,2015-01-01,Katy Perry,46,7,39,False
46,2015-01-01,OneRepublic,47,6,38,False
47,2015-01-01,Big Sean,48,40,41,False
48,2015-01-01,Mariah Carey,49,43,43,False
49,2015-01-01,Tim McGraw,50,10,45,False
50,2015-01-01,Jason Derulo,51,9,42,False
51,2015-01-01,Kenny Chesney,52,2,52,False
52,2015-01-01,Sam Hunt,53,5,48,False
53,2015-01-01,Bobby Shmurda,54,24,50,False
54,2015-01-01,Vance Joy,55,45,53,False
55,2015-01-01,Eric Church,56,51,61,False
56,2015-01-01,Wiz Khalifa,57,2,57,False
57,2015-01-01,Pitbull,58,18,56,False
58,2015-01-01,Usher,59,59,62,False
59,2015-01-01,Darius Rucker,60,51,60,False
60,2015-01-01,Coldplay,61,23,86,False
61,2015-01-01,James Newton Howard,62,32,55,False
62,2015-01-01,Lorde,63,21,49,False
63,2015-01-01,Elvis Presley,64,53,58,False
64,2015-01-01,I LOVE MAKONNEN,65,51,51,False
65,2015-01-01,Lady A,66,6,67,False
66,2015-01-01,Trey Songz,67,1,59,False
67,2015-01-01,Bing Crosby,68,68,70,False
68,2015-01-01,Pink Floyd,69,3,72,False
69,2015-01-01,Milky Chance,70,41,69,False
70,2015-01-01,Foo Fighters,71,2,74,False
71,2015-01-01,K. Michelle,72,26,26,False
72,2015-01-01,O.T. Genasis,73,63,63,False
73,2015-01-01,Nico & Vinz,74,12,66,False
74,2015-01-01,Frank Sinatra,75,75,80,False
75,2015-01-01,Jeremih,76,30,76,False
76,2015-01-01,Sia,77,5,71,False
77,2015-01-01,Pharrell Williams,78,9,82,False
78,2015-01-01,Brad Paisley,79,13,79,False
79,2015-01-01,John Legend,80,15,78,False
80,2015-01-01,Ella Henderson,81,71,95,False
81,2015-01-01,Lee Brice,82,15,77,False
82,2015-01-01,Andy Williams,83,83,93,False
83,2015-01-01,Damien,84,84,0,True
84,2015-01-01,Mannheim Steamroller,85,65,65,False
85,2015-01-01,George Strait,86,17,0,False
86,2015-01-01,Justin Timberlake,87,20,97,False
87,2015-01-01,Justin Bieber,88,34,94,False
88,2015-01-01,T.I.,89,7,87,False
89,2015-01-01,Adam Levine,90,90,0,True
90,2015-01-01,Led Zeppelin,91,19,0,False
91,2015-01-01,Rihanna,92,44,88,False
92,2015-01-01,The Beatles,93,76,0,False
93,2015-01-01,Burl Ives,94,94,0,False
94,2015-01-01,David Guetta,95,48,85,False
95,2015-01-01,Linkin Park,96,49,0,False
96,2015-01-01,Demi Lovato,97,31,0,False
97,2015-01-01,E-40,98,68,68,False
98,2015-01-01,Nat King Cole,99,99,0,True
99,2015-01-01,Fifth Harmony,100,56,0,False
100,2015-01-08,Taylor Swift,1,1,1,False
101,2015-01-08,Nicki Minaj,2,2,2,False
102,2015-01-08,Meghan Trainor,3,1,6,False
103,2015-01-08,Ed Sheeran,4,3,3,False
104,2015-01-08,Sam Smith,5,1,5,False
105,2015-01-08,Ariana Grande,6,1,8,False
106,2015-01-08,One Direction,7,2,12,False
107,2015-01-08,Hozier,8,7,7,False
108,2015-01-08,Maroon 5,9,1,11,False
109,2015-01-08,Pentatonix,10,2,4,False
110,2015-01-08,J. Cole,11,2,9,False
111,2015-01-08,Beyonce,12,6,13,False
112,2015-01-08,Iggy Azalea,13,2,16,False
113,2015-01-08,Fall Out Boy,14,14,21,False
114,2015-01-08,Bruno Mars,15,15,15,False
115,2015-01-08,Nick Jonas,16,11,19,False
116,2015-01-08,Mark Ronson,17,14,14,False
117,2015-01-08,Florida Georgia Line,18,1,22,False
118,2015-01-08,Selena Gomez,19,10,17,False
119,2015-01-08,5 Seconds Of Summer,20,1,24,False
120,2015-01-08,Luke Bryan,21,4,27,False
121,2015-01-08,The Weeknd,22,22,40,False
122,2015-01-08,Jason Aldean,23,1,26,False
123,2015-01-08,Drake,24,13,31,False
124,2015-01-08,Katy Perry,25,7,46,False
125,2015-01-08,Carrie Underwood,26,9,20,False
126,2015-01-08,Eminem,27,11,44,False
127,2015-01-08,Rae Sremmurd,28,28,37,False
128,2015-01-08,Imagine Dragons,29,14,29,False
129,2015-01-08,Blake Shelton,30,1,25,False
130,2015-01-08,Tove Lo,31,10,32,False
131,2015-01-08,Michael Buble,32,17,18,False
132,2015-01-08,Chris Brown,33,1,43,False
133,2015-01-08,AC/DC,34,6,34,False
134,2015-01-08,Jason Derulo,35,9,51,False
135,2015-01-08,OneRepublic,36,6,47,False
136,2015-01-08,Mr. Probz,37,23,38,False
137,2015-01-08,Calvin Harris,38,9,39,False
138,2015-01-08,Garth Brooks,39,7,35,False
139,2015-01-08,Idina Menzel,40,15,33,False
140,2015-01-08,Big Sean,41,40,48,False
141,2015-01-08,Charli XCX,42,12,36,False
142,2015-01-08,Fabolous,43,43,0,True
143,2015-01-08,Pitbull,44,18,58,False
144,2015-01-08,Wiz Khalifa,45,2,57,False
145,2015-01-08,Tim McGraw,46,10,50,False
146,2015-01-08,Bobby Shmurda,47,24,54,False
147,2015-01-08,Sam Hunt,48,5,53,False
148,2015-01-08,Vance Joy,49,45,55,False
149,2015-01-08,Jessie J,50,17,45,False
150,2015-01-08,Kenny Chesney,51,2,52,False
151,2015-01-08,Lorde,52,21,63,False
152,2015-01-08,Usher,53,53,59,False
153,2015-01-08,Trey Songz,54,1,67,False
154,2015-01-08,Eric Church,55,51,56,False
155,2015-01-08,James Newton Howard,56,32,62,False
156,2015-01-08,Barbra Streisand,57,2,41,False
157,2015-01-08,I LOVE MAKONNEN,58,51,65,False
158,2015-01-08,Arctic Monkeys,59,59,0,False
159,2015-01-08,Justin Bieber,60,34,88,False
160,2015-01-08,Nico & Vinz,61,12,74,False
161,2015-01-08,O.T. Genasis,62,62,73,False
162,2015-01-08,Jeremih,63,30,76,False
163,2015-01-08,Foo Fighters,64,2,71,False
164,2015-01-08,Fifth Harmony,65,56,100,False
165,2015-01-08,John Legend,66,15,80,False
166,2015-01-08,Darius Rucker,67,51,60,False
167,2015-01-08,Pink Floyd,68,3,69,False
168,2015-01-08,Sia,69,5,77,False
169,2015-01-08,Lady A,70,6,66,False
170,2015-01-08,Pharrell Williams,71,9,78,False
171,2015-01-08,Led Zeppelin,72,19,91,False
172,2015-01-08,Trans-Siberian Orchestra,73,35,42,False
173,2015-01-08,Lee Brice,74,15,82,False
174,2015-01-08,Justin Timberlake,75,20,87,False
175,2015-01-08,Coldplay,76,23,61,False
176,2015-01-08,MAGIC!,77,3,0,False
177,2015-01-08,Milky Chance,78,41,70,False
178,2015-01-08,Rihanna,79,44,92,False
179,2015-01-08,The Beatles,80,76,93,False
180,2015-01-08,Mariah Carey,81,43,49,False
181,2015-01-08,Brad Paisley,82,13,79,False
182,2015-01-08,Lana Del Rey,83,16,0,False
183,2015-01-08,Joe Cocker,84,84,0,True
184,2015-01-08,T.I.,85,7,89,False
185,2015-01-08,Fergie,86,46,0,False
186,2015-01-08,Michael Jackson,87,25,0,False
187,2015-01-08,Elvis Presley,88,53,64,False
188,2015-01-08,D'Angelo,89,23,23,False
189,2015-01-08,Demi Lovato,90,31,97,False
190,2015-01-08,Ella Henderson,91,71,81,False
191,2015-01-08,Miley Cyrus,92,25,0,False
192,2015-01-08,DeJ Loaf,93,91,0,False
193,2015-01-08,Ne-Yo,94,94,0,True
194,2015-01-08,Nickelback,95,11,0,False
195,2015-01-08,Shawn Mendes,96,9,0,False
196,2015-01-08,Juicy J,97,97,0,True
197,2015-01-08,K. Michelle,98,26,72,False
198,2015-01-08,Avicii,99,50,0,False
199,2015-01-08,Echosmith,100,26,0,False
200,2015-01-15,Taylor Swift,1,1,1,False
201,2015-01-15,Ed Sheeran,2,2,4,False
202,2015-01-15,Sam Smith,3,1,5,False
203,2015-01-15,Nicki Minaj,4,2,2,False
204,2015-01-15,Meghan Trainor,5,1,3,False
205,2015-01-15,Hozier,6,6,8,False
206,2015-01-15,One Direction,7,2,7,False
207,2015-01-15,Ariana Grande,8,1,6,False
208,2015-01-15,Maroon 5,9,1,9,False
209,2015-01-15,Beyonce,10,6,12,False
210,2015-01-15,Iggy Azalea,11,2,13,False
211,2015-01-15,J. Cole,12,2,11,False
212,2015-01-15,Mark Ronson,13,13,17,False
213,2015-01-15,Bruno Mars,14,14,15,False
214,2015-01-15,Fall Out Boy,15,14,14,False
215,2015-01-15,Luke Bryan,16,4,21,False
216,2015-01-15,Katy Perry,17,7,25,False
217,2015-01-15,Selena Gomez,18,10,19,False
218,2015-01-15,Florida Georgia Line,19,1,18,False
219,2015-01-15,Nick Jonas,20,11,16,False
220,2015-01-15,Jason Aldean,21,1,23,False
221,2015-01-15,Drake,22,13,24,False
222,2015-01-15,Imagine Dragons,23,14,29,False
223,2015-01-15,Eminem,24,11,27,False
224,2015-01-15,OneRepublic,25,6,36,False
225,2015-01-15,Carrie Underwood,26,9,26,False
226,2015-01-15,The Weeknd,27,22,22,False
227,2015-01-15,5 Seconds Of Summer,28,1,20,False
228,2015-01-15,Rae Sremmurd,29,28,28,False
229,2015-01-15,Blake Shelton,30,1,30,False
230,2015-01-15,Tove Lo,31,10,31,False
231,2015-01-15,Pitbull,32,18,44,False
232,2015-01-15,Calvin Harris,33,9,38,False
233,2015-01-15,Jason Derulo,34,9,35,False
234,2015-01-15,Charli XCX,35,12,42,False
235,2015-01-15,Sam Hunt,36,5,48,False
236,2015-01-15,Chris Brown,37,1,33,False
237,2015-01-15,AC/DC,38,6,34,False
238,2015-01-15,Eric Church,39,39,55,False
239,2015-01-15,Mr. Probz,40,23,37,False
240,2015-01-15,Vance Joy,41,41,49,False
241,2015-01-15,Wiz Khalifa,42,2,45,False
242,2015-01-15,Lorde,43,21,52,False
243,2015-01-15,Big Sean,44,40,41,False
244,2015-01-15,Kanye West,45,45,0,True
245,2015-01-15,Tim McGraw,46,10,46,False
246,2015-01-15,Usher,47,47,53,False
247,2015-01-15,Pharrell Williams,48,9,71,False
248,2015-01-15,John Legend,49,15,66,False
249,2015-01-15,Pentatonix,50,2,10,False
